Label,Accuracy,Precision,Recall,F1_Score
HS,0.885,0.892,0.875,0.884
Abusive,0.935,0.944,0.924,0.934
HS_Individual,0.862,0.858,0.867,0.862
HS_Group,0.893,0.911,0.871,0.89
HS_Religion,0.945,0.949,0.941,0.945
HS_Race,0.953,0.981,0.924,0.952
HS_Physical,0.974,0.989,0.959,0.974
HS_Gender,0.957,0.988,0.924,0.955
HS_Other,0.904,0.907,0.9,0.903
HS_Weak,0.858,0.854,0.863,0.858
HS_Moderate,0.905,0.904,0.906,0.905
HS_Strong,0.926,0.948,0.901,0.924
